Post Text,LLM Response,Parsed Code,Parsed Microlabel,Parsed Macrolabel,date,About Israel
"Nachdem Alice Weidel und ihre Familie wegen Anschlagsplänen gegen sie seit zehn Tagen an einem sicheren Ort versteckt werden müssen, gab es nun vier Tage vor der Wahl in Bayern und Hessen einen tätlichen Vorfall gegen Co-Parteichef Chrupalla auf einer Wahlkampf-Veranstaltungen in Ingolstadt. Er musste ins Krankenhaus gebracht werden. Sein Gesundheitszustand muss noch abgeklärt werden.
Was ist in unserem Land nur los?
Die vermeintlichen Demokratie-Verteidiger haben mit ihrem Hass und ihrer Hetze eine Situation geschaffen, wo ihre Kritiker um ihre Gesundheit und ihr Leben fürchten müssen.
Und kein Aufschrei und keine Solidarität von den selbsternannten ""Guten"".
Es ist einfach nur noch gruselig.
Und schiziphren.",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-04T16:28:02.000Z,0
"Asyl: Esken entlarvt völligen Realitätsverlust.
Chef-Genossin sieht keine ""Anziehungs-Faktoren"" für Flüchtlinge.
Den Zusammenhang zwischen Sozialleistungen und Zuwanderung kann jedes Kind verstehen. Nicht so dagegen viele Politiker und Journalisten. Wie die SPD-Chefin jetzt wieder bewies. Hier mein neuer Text: https://reitschuster.de/post/asyl-esken-entlarvt-voelligen-realitaetsverlust/",11,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-27T22:05:24.000Z,0
"„Europa muss endlich frei werden“

AUF1-Chefredakteur Stefan Magnet warnt, dass Europa zwischen den Fronten Muslime und Juden aufgerieben werden könnte. Wer sich unreflektiert auf eine Seite schlägt, hat schon verloren. Er betont: 

Europa muss jetzt erkennen, dass es endlich um Freiheit und Souveränität kämpfen muss! Wann, wenn nicht jetzt? Und es muss klar sein, dass wir einen eigenen Standpunkt vertreten. Das ist nicht Politik, das ist Überlebensnotwendigkeit in einer Zeit der globalen Krisen und Kriege:

❌ Kein Imperialismus und keine Einmischung! Nicht bei uns und wir nicht in anderen Regionen!

❌ Keine importierten Konflikte in Europa!

⚠️ Menschenleben sind immer gleichbedeutend! Es gibt keine wertvolleren und unwerte Opfer.",11,11,Migrationspolitik,Sicht auf Deutschland/USA,2023-10-28T08:28:50.000Z,0
"Die „Ampel“ muss beendet werden!
Unfassbare Unfähigkeit oder ideologischer Fanatismus?
Wir müssen uns darauf konzentrieren, sie loszuwerden, wenn wir nicht mit ihr untergehen wollen. Die Gefahr ist groß, dass sie ein Trümmerfeld hinterlässt, je größer, je länger sie fortbesteht. Von Vera Lengsfeld. https://reitschuster.de/post/die-ampel-muss-beendet-werden/",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-17T13:27:31.000Z,0
"Stoppt den Import von Antisemiten!.
Lippenbekenntnisse zum jüdischen Leben sind bislang nur Heuchelei.
Der Kanzler musste eingestehen, dass unser Staat nicht mehr in der Lage ist, der Antisemitenschwemme Herr zu werden. Deren Import wird aber weiter tabuisiert. Dass muss sich ändern. Von Vera Lengsfeld. https://reitschuster.de/post/stoppt-den-import-von-antisemiten/",11,11,Migrationspolitik,Sicht auf Deutschland/USA,2023-10-13T10:48:39.000Z,0
"„Wir sind zutiefst besorgt über die zunehmende Zensur“.
Warnungen von Prominenten von links, rechts und aus der Mitte.
„Auf der ganzen Welt arbeiten Akteure, daran, ihre Bürger zu überwachen und ihnen ihre Stimme zu nehmen“, beklagen 139 Prominente. Und wollen jetzt dagegen mobil machen – mit der „Westminster Deklaration“. Hier mein neuer Text: https://reitschuster.de/post/wir-sind-zutiefst-besorgt-ueber-die-zunehmende-zensur/",8,8,Meinungsfreiheit,Sicht auf Deutschland/USA,2023-10-19T15:47:42.000Z,0
"Wie demokratisch ein Land ist, kann man daran ablesen, ob Kritiker der Regierung um ihre Sicherheit und Unversehrtheit fürchten müssen.",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-07T20:58:48.000Z,0
"„Wir setzen ein Zeichen gegen die Feinde unserer Verfassung, die AfD“.
Häme und Spott statt Solidarität und Empathie nach Bedrohung von Weidel.
Alice Weidel muss sich seit zehn Tagen mit ihrer Familie versteckt halten; die großen Medien vertuschen das, und gleichzeitig gibt es einen großen Aufruf „für die Demokratie“ – gegen die AfD. All das ist mit klarem Verstand kaum noch auszuhalten. Hier mein neuer Text: https://reitschuster.de/post/wir-setzen-ein-zeichen-gegen-die-feinde-unserer-verfassung-die-afd/",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-04T10:19:06.000Z,0
"Hiermit möchte ich offiziell und in aller Bescheidenheit meinen Sieg über die Stadt Blomberg,
den SPD-Bürgermeister Christoph aka. „nich so“ Dolle und alle anderen Vorzeigedemokraten verkünden!

Des Weiteren möchte ich nochmal bekräftigen, dass ich mein Wort gehalten habe:
Es wird KEIN Flüchtlingsheim in Tintrup geben!!!
Gern geschehen.

Ich möchte auch betonen, dass ich weder sonderlich überrascht bin, noch dass ich mich übermäßig freue.

Warum?
Weil für mich der Ausgang aufgrund der juristischen Einschätzung im vornherein schon feststand
und weil diese Herrschaften natürlich keine echten Gegner darstellen.

Das ist ja ungefähr so, als wenn ein indonesisches Fischerboot Kurs auf einen Flugzeugträger nimmt. Zwinkersmiley

An alle Tintruper:
Auf gute Nachbarschaft! Lebt damit, ich bin gekommen, um zu bleiben.
Punkt und Ende der Diskussion!

In diesem Sinne
Deutschland immer zuerst!

Tim K.",11,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-24T19:21:01.000Z,0
"Die Konsens-Lüge ist am Ende: Dieser Wissenschaftler sagt Klima-Hysterie den Kampf an

Der „97%-Konsens“ von Wissenschaftlern über den menschengemachten Anteil am Klimawandel sei eine Lüge, sagt Dr.-Ing. Bernd Fleischmann. Seit Jahren setzt sich der Elektrotechniker mit dem Klimawandel auseinander und resümiert: „Es gibt keine Klimakrise“. Das Schaffen von Angst basiere auf falschen Informationen und Modellrechnungen. Im „Großen Interview AUF1“ mit Mag. Elsa Mittmannsgruber widerlegt er sämtliche Klima-Mythen.

➡️ Jetzt ansehen: https://auf1.tv/das-grosse-interview/die-konsens-luege-ist-am-ende-dieser-wissenschaftler-sagt-klima-hysterie-den-kampf-an",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-29T09:04:36.000Z,0
"Die Konsens-Lüge ist am Ende: Dieser Wissenschaftler sagt Klima-Hysterie den Kampf an

Der „97%-Konsens“ von Wissenschaftlern über den menschengemachten Anteil am Klimawandel sei eine Lüge, sagt Dr.-Ing. Bernd Fleischmann. Seit Jahren setzt sich der Elektrotechniker mit dem Klimawandel auseinander und resümiert: „Es gibt keine Klimakrise“. Das Schaffen von Angst basiere auf falschen Informationen und Modellrechnungen. Im „Großen Interview AUF1“ mit Mag. Elsa Mittmannsgruber widerlegt er sämtliche Klima-Mythen.

➡️ Jetzt ansehen: https://auf1.tv/das-grosse-interview/die-konsens-luege-ist-am-ende-dieser-wissenschaftler-sagt-klima-hysterie-den-kampf-an",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-28T10:48:03.000Z,0
"20 Uhr - Sonntag, 29.10.2023
LIVE

Update - Reiner Fuellmich

Dlive
https://dlive.tv/bitteltv

VK
https://vk.com/bitteltv

GETTR
https://gettr.com/user/bitteltv

KICK
https://kick.com/bittel-tv

Twitter
https://twitter.com/bitteltv

Twitch
https://www.twitch.tv/bitteltv

TEILEN - mehr Infos bei:
@BITTELTV - EINFACH ANDERS",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-29T13:31:28.000Z,0
"Die Brandmauer wird fallen.
Lehren aus Bayern und Hessen.
Die Reaktionen auf die Wahlen zeigen: Die bestehenden Parteien sind nicht gewillt auf den eindeutigen Wählerwillen zu reagieren. Die Ausgrenzung der AfD schadet Deutschland und der Demokratie. Von Vera Lengsfeld. https://reitschuster.de/post/die-brandmauer-wird-fallen/",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-11T17:44:02.000Z,0
"‼️ Pfizer-Leak 26.10.: 🇪🇺💶  Die EU Politiker haben alle belogen und Millionen EU Bürger vorsätzlich geschädigt - zigtausende Todesopfer inklusive!

Zuerst werden die Verträge geheim gehalten. Dann alle Seiten geschwärzt.

Wir wussten warum: Die geleakten Dokumente zeigen, dass alles, was sie erzählt haben, vorsätzliche Lügen waren. Und um die Lüge aufrecht zu erhalten, weiter zu impfen, weiter Milliarden zu scheffeln, mussten die Verträge geschwärzt bleiben.

Denn es stand verschriftlicht fest:

✅ Unbekannte Wirksamkeit
✅ Unbekannte unerwünschte Ereignisse
✅ Unbekannte langfristige Auswirkungen

Vergleicht gern selbst:

Leak-Version

Vertrag EU-Kommission

Im Gegebsatz zur Tagesschau oder der ORF ZiB werden die „Nachrichten AUF1“ heute groß über diesen aufgedeckten Skandal berichten! 

Folgen Sie mir: https://t.me/stefanmagnet",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-26T08:56:51.000Z,0
"📝 Die Kriegslügen deutscher Politiker am Beispiel von Strack-Zimmermann  
 ➥ Hier den Artikel lesen
Marie-Agnes Strack-Zimmermann, Vorsitzende des Verteidigungsausschusses des Bundestages, hat sich in der politischen Talkshow ""Maischberger"" zur Ukraine geäußert und dabei so unverschämt gelogen, dass ich das aufzeigen will.
@AntiSpiegel • Thomas Röper",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-01T18:23:08.000Z,0
"Eine Abwahl der Merkel-Politik und ihrer Fortsetzung durch die Ampel.
Lehren aus dem Hessenergebnis.
Die bestehenden Parteien, und dazu zähle ich mittlerweile auch die AfD, sollten aufhören, sich einzureden, dass die Leute sie wählen, weil sie gut sind. Es war nur eine Wahl des kleineren Übels. Von Vera Lengsfeld. https://reitschuster.de/post/lehren-aus-dem-hessenergebnis/",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-09T22:25:02.000Z,0
"Lasst euch nicht von der Obrigkeit spalten!

Dieser Twitter-Beitrag bringt es auf den Punkt und ist perfekter Denkanstoß zum Tagesausklang. Niemand braucht uns vorgeben, wer unser Feind zu sein hat, wir sind freie Menschen und denken selber. Und wir haben schon lange erkannt: Der Gegner ist immer der gleiche, ein übergriffiger ""Staat"", der unser Leben bis in das kleinste Detail kontrollieren und vorschreiben will. 

Wir wollen die Gesellschaft komplett verändern und nicht nur ein paar kosmetische Korrekturen vornehmen. Politische Verantwortung gehört wieder auf die unterst mögliche Ebene verlagert und dem Bürger die Entscheidungsfreiheiten zurückgegeben, damit sich ein so düsteres Kapitel, wie wir es heute erleben, in unserem Land nicht mehr wiederholen mag.

FREIE SACHSEN: Folgt uns für alle Nachrichten und Informationen bei Telegram! http://t.me/freiesachsen",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-14T20:44:05.000Z,0
"Im Gazastreifen sind nach Angaben der palästinensischen Telekommunikationsgesellschaft „Paltel“ alle Kommunikations- und Internetdienste ausgefallen. Die Hamas vermutet in einer Stellungnahme, dass Israel unliebsame Bilder verhindern möchte und macht die „Besatzer, Washington und die westlichen Länder, die Israel unterstützen, für die abscheulichen Massaker und ihre Auswirkungen voll verantwortlich“.

👉 Folgen Sie AUF1 auf Telegram: t.me/auf1tv",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-27T19:51:01.000Z,1
"WDR macht sich wieder lächerlich

Wenn die meisten antisemitischen Straftaten auf das Konto von „rechtsextremen Deutschen“ gehen, warum will Faeser jetzt den Migrationshintergrund erfassen lassen? Mysteriös!

Folgen @unblogd",11,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-21T08:05:23.000Z,0
"Mischen Männer bald den Frauenfußball in Deutschland auf?
Letzte Hürden gefallen.
Trennung von Geschlechtern im Sport? Überflüssig! Glaubt zumindest der DFB. Seit dieser Saison kann jeder, der es will, im anderen Geschlecht antreten. Massive Wettbewerbsverzerrung und Verletzungsrisiken müssen hinter Ideologie zurückstehen. Von Kai Rebmann. https://reitschuster.de/post/mischen-maenner-bald-den-frauenfussball-in-deutschland-auf/",6,6,Gesellschaftlicher Wohlstand,Allgemeine Bedenken,2023-10-29T10:38:59.000Z,0
"„ARD und ZDF bringen ‘schärfere Abschieberegelnæ der Ampel als Top-Nachricht. Frau #Faeser suggeriert einen Richtungswechsel. Dabei geht die Regierung im eigenen Gesetzentwurf davon aus, dass jährlich etwa 600 (!) zusätzliche Abschiebungen erfolgen könnten. Soll das ein Witz sein?“
Gerhard Papke, ehemaligeer FDP-Fraktionschef und Landtagsvizepräsident in NRW, auf Twitter",11,11,Migrationspolitik,Sicht auf Deutschland/USA,2023-10-25T22:11:21.000Z,0
"Beschämend: Kachelmanns virtueller Vernichtungsangriff auf Chrupalla
Die Skrupellosigkeit der selbsternannten Vertreter des Guten.
Im März 2010 wurde Kachelmann wegen Vergewaltigung angeklagt und saß über 130 Tage in U-Haft. Die Presse schoss sich auf ihn ein. Wie man sich fühlt, wenn man mit Schmutz beworfen wird, hat er allem Anschein nach vergessen. Von Thomas Rießinger. https://reitschuster.de/post/beschaemend-kachelmanns-virtueller-vernichtungsangriff-auf-chrupalla/",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-06T21:37:26.000Z,0
"Im November findet der alljährliche internationale Gesundheitsgipfel 2023 in Berlin statt. Mit dabei lauter Protagonisten des Corona-Terrors. Pikant: 2018, ein Jahr vor dem Ausbruch der Wuhan-Laborseuche, war Biontech-Chef Uğur Şahin schon mit dabei und stand mit Merkel und Tedros auf der Bühne.

➡️ https://auf1.info/verschwoerungstheorie-brisante-absprachen-von-merkel-und-biontech-gruender-schon-2018

👉 Seien Sie informiert! Folgen Sie uns auf Telegram: https://t.me/auf1info",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-13T12:55:10.000Z,0
"Kinderkommunist Dzienus: „Olaf Scholz, schämen Sie sich!“.
Grüne Jugend rebelliert gegen härtere Migrationspolitik.
So viele illegale Migranten wie in diesem Jahr gab es hierzulande zuletzt 2016. Selbst Kanzler Scholz will mittlerweile härter gegen abgelehnte Asylbewerber vorgehen. Die Grüne Jugend bezeichnet dies als „rechten, rassistischen Unsinn“. Von Daniel Weinmann. https://reitschuster.de/post/kinderkommunist-dzienus-olaf-scholz-schaemen-sie-sich/",11,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-24T07:53:10.000Z,0
Faeser lebt in einem Parallel-Universum.,13,13,Regierung und Führung,Vertrauen in Institutionen,2023-10-26T18:08:03.000Z,0
"Der Psychiater Raphael Bonelli stand in den letzten 3 Jahren für Deeskalation und Antidiskriminierung und wurde dafür von der Hetzern gehasst und bekämpft. Mich verbindet mit ihm inzwischen eine feste Freundschaft. Aber nicht deswegen, sondern weil es so gut und lohnenswert ist, möchte ich heute sein Buch empfehlen, das in wenigen Wochen erscheint. Er hat Jahrtausende altes, verschüttetes Wissen der antiken Weisheitslehre wieder ausgegraben und mit der modernen Psychologie verknüpft. Er zeigt wie wir dem Leben wieder einen Sinn geben können und alle Angriffe aus dem Außen überstehen. Wokeness und Empörungskultur werden messerscharf analysiert und in ihrer Widersprüchlichkeit aufgezeigt. Als jemand der seit Jahrzehnten für seine Arbeit angefeindet wird, weil sie nicht dem Mainstream entspricht, weiss Raphael genau wovon er spricht.
Weiterer wichtiger Aspekt im Buch:  Die Sinnlosigkeit durchzieht das Leben der Mitteleuropäer - niemand weiss mehr, wozu er eigentlich noch da ist. Was bringt dieses ganze Leben überhaupt? Wozu ist es gut? Wenn wir das nicht beantworten können, ist es klar, dass wir keine Scham mehr haben, uns gegenseitig an die Gurgel zu gehen. 
Es ist ein absolut inspirierendes Buch, das hilft, seinen Weg zu gehen, auch wenn in vielen Momenten alles ausweglos erscheint. 
Wer jetzt vorbestellt, hilft mit, dass Amazon und Co. das Buch von Anfang an listen und keine Ausreden bei der Auslieferung hat.  
Mehr zum Buch: https://www.raphael-bonelli.com/die-weisheit-des-herzens/
Direktbestellung: https://tinyurl.com/weisheit-des-herzens",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-08T09:31:06.000Z,0
"„Geld ist wichtig, aber heute bitten wir darum, dass Blut und Seele für Palästina geopfert werden“, sagt der politische Führer der palästinensischen Hamas in einem aktuellen Video. Insbesondere am kommenden Freitag sollen in muslimischen Ländern und auch in der muslimischen Diaspora auf der ganzen Welt „Botschaften der Wut und des Zorns“ an die Zionisten gesendet werden. Er nannte es „den Freitag der Al-Aqsa-Flut“.

👉 Folgen Sie AUF1 auf Telegram: t.me/auf1tv",11,11,Migrationspolitik,Sicht auf Deutschland/USA,2023-10-11T13:01:17.000Z,1
"wichtiges okkultes Fest
😈 Satanismus und Halloween

«Das Thema Satanismus rückt seit einigen Jahren wieder vermehrt in den Fokus kritisch denkender Menschen. Rätselhafte Symbole, satanische Feiertage, satanische Darstellungen in Musikvideos und Filmen der Hollywoodmaschinerie und immer wieder laut werdende Stimmen von satanischen Ritualen, Opferungen und Missbrauch, sensibilisieren immer mehr Menschen für dieses Thema. 
Wenn man sich einmal die Feiertage im Satanismus ansieht, fällt auf, dass scheinbar vornehmlich christliche Feiertage verhöhnt werden. Da stellt sich natürlich die Frage, welchen Stellenwert hat Halloween für den Satanismus? Halloween ist für Satanisten eines der größten Feste überhaupt. Die geöffneten Pforten zwischen Diesseits und Jenseits ermöglichen auch Geistern und Dämonen leichteren Zutritt in unsere Welt. Satanisten versammeln sich weltweit an geheimen Orten, um große Opferrituale und Beschwörungen von Geistern und Dämonen an Halloween durchzuführen. Viele Kinder und Säuglinge werden rituell missbraucht, misshandelt und gequält. Einige Kinder sterben an Halloween auf bestialische Art und Weise. Genauso wie die vermeintlich harmlosen Disneyfilme, die gespickt mit satanischen Symbolen und Manipulationen sind, ist auch der heutige Halloween-Kult durchzogen von satanischen Symbolen und gut versteckten Inhalten satanischer Riten, ohne dass die Menschen sich dessen bewusst sind. Halloween ist ein okkultes Fest mit einer schrecklichen Geschichte, welches nicht so ungefährlich und lustig ist, wie viele sich das denken. Zahlreiche Eltern wissen gar nicht, was für ein Fest sie da mit ihren Kindern feiern.
Fazit:
Jeder muss für sich selbst entscheiden, ob er das Halloween-Fest, Samhain oder das christliche Allerheiligen feiern möchte oder nicht. Doch jeder sollte sich bewusst sein, was dieses Fest mit seinen Inhalten bedeutet, worauf es wurzelt und wem er damit vielleicht ohne es zu wollen dient. Wir alle wünschen uns ein freies, selbstbestimmtes und souveränes Leben. Darum dürfen wir damit beginnen, nicht mehr einfach mitzumachen und blind anzunehmen, was man uns vorsetzt, sondern Dinge zu hinterfragen und hinter die ach so schillernden Kulissen zu blicken. Für mich spricht nichts gegen Dankbarkeit gegenüber unserer Mutter Erde, die uns mit einer reichen Ernte segnet. Und auch die Wertschätzung unserer Ahnen steht für mich außer Frage. Wir können und dürfen das auf unsere eigene Art ausdrücken und bewusst leben, ohne vorgesetzten Riten und Kulten zu frönen. Sei achtsam und entscheide selbst! »

Quelle

👉 auf telegram 👉auf substack 👉auf youtube 👉auf odysee 👉auf Twitter
.",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-31T12:07:01.000Z,0
"Bayern ist Teil von Deutschland.
Lehren aus dem Ergebnis im Freistaat.
Schwarz-Grün als „Projekt“ für Deutschland ist gescheitert. Die Union sollte – das ist das Signal aus Bayern – mit der Maßgabe der Etablierung einer bürgerlichen Koalition – Kein Grün! Kein Rot! – in den Wahlkampf 2025 ziehen. Von Vera Lengsfeld. https://reitschuster.de/post/lehren-aus-dem-bayern-ergebnis/",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-10T07:27:57.000Z,0
"Staatsbegräbnis
🤡 Only in Germany...

Hier ein Kommentar von Dieter Stein, Chefredakteur der Wochenzeitung JUNGE FREIHEIT:

«In welchem anderen Land der Welt wäre es denkbar, daß sich die höchsten Repräsentanten des Staates am Nationalfeiertag ablichten lassen - ohne nationale Symbole, ohne Nationalflagge? Das ist nur in Deutschland denkbar. Der Auftritt erinnert eher an ein Staatsbegräbnis. »

Quelle

👉 auf telegram 👉auf substack 👉auf youtube 👉auf odysee 👉auf Twitter
.",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-04T12:07:01.000Z,0
"Hinterfotzig, infam – ?
Der Fall Chrupalla zeigt, wie tief die politische Klasse gesunken ist.
Auf das Übelste beschimpfte Bayerns CSU-Innenminister Herrmann die AfD nach Chrupallas Krankenhaus-Einweisung. Er entlarvt sich damit selbst – wie auch viele andere Von Vera Lengsfeld. https://reitschuster.de/post/hinterfotzig-infam/",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-07T16:00:43.000Z,0
"🚨BREAKING – Biden genehmigt umgehend die Zuweisung von 8 Milliarden US-Dollar für Verteidigungs- und Militärhilfe an Israel.

☀️🍷🍿   Lust auf Gute Laune? 

♟️🐇📕   Lust auf Wissen?",26,26,Behauptungen über ausländische Einflussnahme,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-07T17:10:55.000Z,0
"Nicolas Rimoldi (MASS-VOLL!): Bürgerrechtskampf auf allen Ebenen 📣

In der Schweiz finden am Sonntag Nationalratswahlen statt. Aus diesem Anlass hatten wir am Dienstag bereits Patrick Jetzer, den Präsidenten von „Aufrecht Schweiz“ interviewt. Eine Partei, die aus dem Corona-Widerstand hervorgegangen ist, wie auch die Liste „MASS-VOLL!“, die nun ebenfalls zu den Wahlen antritt. Thomas Eglinski hat sich mit Nicolas Rimoldi, dem Spitzenkandidaten von „MASS-VOLL!“ unterhalten.

➡️ Das ganze Interview AUF1.TV ansehen: https://auf1.tv/nachrichten-auf1/nicolas-rimoldi-mass-voll-buergerrechtskampf-muss-auf-allen-ebenen-gefochten-werden",20,20,Wahlabsichten,Politische Parteien und Meinungen,2023-10-20T05:45:02.000Z,0
"Besorgniserregende Fakten rund um Elektroautos 🚙🔌

Das ein Elektroauto über höhere Strahlenbelastungen von Elektrosmog und Magnetismus verfügt, liegt auf der Hand. Doch Untersuchungen dazu zeigen nicht nur diese höheren Werte auf, sondern auch die neurologischen Auswirkungen auf das Gehirn.

➡️ Die ganze Sendung „QS24“ bei AUF1.TV ansehen: https://auf1.tv/nachrichten-auf1/besorgniserregende-fakten-rund-um-elektroautos

🇨🇭Den Original-Beitrag unserer Schweizer Kollegen von QS24.tv finden Sie hier: https://www.youtube.com/watch?v=gqrr7uMRJiQ",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-18T17:00:58.000Z,0
"Die wundersame Abschiebe-Rechnung im Land der unbegrenzten Willkommenskultur.
Große Worte, lächerliches Ergebnis.
Geht es darum, die Bürger um ihr Eigentum zu bringen, dann ist die Regierung schnell und mit Begeisterung dabei. Geht es aber um eine Entlastung für die Bürger, die nicht unbedingt erfreut sind über den illegalen Zuzug, dann wird Aktivität nur vorgetäuscht. Von Thomas Rießinger. https://reitschuster.de/post/die-wundersame-abschiebe-rechnung-im-land-der-unbegrenzten-wilkommenskultur/",11,11,Migrationspolitik,Sicht auf Deutschland/USA,2023-10-27T12:40:21.000Z,0
"Uwe Steimle: „Der öffentlich-rechtliche Rundfunk hat staatsfern zu sein“ 📺

Der bekannte sächsische Kabarettist und Schauspieler Uwe Steimle betont im AUF1-Interview, dass ihm „der Austausch mit dem Zuschauer etwas ganz Wichtiges“ sei, und hebt dabei die Gedanken- und Meinungsfreiheit in einer Demokratie hervor. Mittlerweile könne man „Kabinett von Kabarett gar nicht mehr unterscheiden“, so dass die Politiker heutzutage zu Konkurrenten der Kabarettisten geworden seien – „nur nicht auf dem intellektuellen Niveau“ erklärt Steimle. Den öffentlich-rechtlichen Rundfunk lehnt er nicht ab, verlangt aber von ihm, staatsfern zu sein. Dessen üppig bezahlten Bossen werde mit viel Geld „das Maul gestopft“, damit diese „nicht bekanntgeben, was für Zustände hier herrschen“.

➡️ Das ganze Interview AUF1.TV ansehen: https://auf1.tv/nachrichten-auf1/uwe-steimle-der-oeffentlich-rechtliche-rundfunk-hat-staatsfern-zu-sein

🤝 Um das Monopol der Öffentlich-Rechtlichen zu brechen, braucht es eine Medienrevolution! Die kann uns nur gemeinsam gelingen, darum brauchen wir Ihre Unterstützung: 
https://auf1.tv/unterstuetzen",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-10T07:34:01.000Z,0
"Bericht von der Informationskriegs-Front: Leak liefert Einblicke in den EU-Nato-Werkzeugkasten 

""Fake News zu Israel und Palästina: EU verklagt Elon Musks X wegen fehlender Content-Moderation. Desinformation wird immer breiter definiert. Auch im UK und in den USA.""

https://www.telepolis.de/features/Bericht-von-der-Informationskriegs-Front-Leak-liefert-Einblicke-in-den-EU-Nato-Werkzeugkasten-9334643.html",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-15T05:12:55.000Z,0
"Schlagzeile im Focus: „BA.2.86 auf dem Vormarsch – Hospitalisierungsrate steigt sprunghaft: So gefährlich ist die Corona-Variante Pirola“.
Unsere tägliche Angst gib uns heute.",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-25T15:17:38.000Z,0
"Der politikgemachte Antisemitismus.
Israel-Hass seit Jahrzehnten.
Während deutsche Bürger in Israel festsitzen, versucht die Innenministerin, Rollator-Revolutionäre als eigentliche Gefahr hinzustellen, und die Außenministerin stellt den Geldfluss in den Gazastreifen sicher. Und alle geben sich überrascht. Von Vera Lengsfeld. https://reitschuster.de/post/der-politikgemachte-antisemitismus/",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-12T11:24:31.000Z,1
